"revision","rustdoc_item_id","public_path","kind","classification","harness_route","evidence_state"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","537","aarch64_vmsa::arch::features","module","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","454","aarch64_vmsa::arch::features::FeatureRequirements","struct","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","494","aarch64_vmsa::arch::features::FeatureRequirements::NONE","assoc_const","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","495","aarch64_vmsa::arch::features::FeatureRequirements::union","function","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","504","aarch64_vmsa::arch::features::FeatureRequirements::with_d128","function","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","505","aarch64_vmsa::arch::features::FeatureRequirements::with_d128_stage2","function","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","496","aarch64_vmsa::arch::features::FeatureRequirements::with_el2","function","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","498","aarch64_vmsa::arch::features::FeatureRequirements::with_el2_and0","function","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","497","aarch64_vmsa::arch::features::FeatureRequirements::with_el3","function","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","506","aarch64_vmsa::arch::features::FeatureRequirements::with_extended_input_address","function","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","507","aarch64_vmsa::arch::features::FeatureRequirements::with_extended_output_address","function","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","503","aarch64_vmsa::arch::features::FeatureRequirements::with_lpa2","function","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","500","aarch64_vmsa::arch::features::FeatureRequirements::with_rme","function","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","508","aarch64_vmsa::arch::features::FeatureRequirements::with_security_state","function","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","499","aarch64_vmsa::arch::features::FeatureRequirements::with_sel2","function","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","501","aarch64_vmsa::arch::features::FeatureRequirements::with_stage2","function","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","502","aarch64_vmsa::arch::features::FeatureRequirements::with_xnx","function","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","326","aarch64_vmsa::arch::features::FeatureStatus","enum","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","327","aarch64_vmsa::arch::features::FeatureStatus::is_implemented","function","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","328","aarch64_vmsa::arch::features::FeatureStatus::unknown_raw","function","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","409","aarch64_vmsa::arch::features::IdRegisterSnapshot","struct","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","410","aarch64_vmsa::arch::features::IdRegisterSnapshot::current","function","direct-fvp-execution","features.live-snapshot-agreement in every FVP profile","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","361","aarch64_vmsa::arch::features::SecurityStates","struct","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","362","aarch64_vmsa::arch::features::SecurityStates::NONE","assoc_const","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","363","aarch64_vmsa::arch::features::SecurityStates::NON_SECURE","assoc_const","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","365","aarch64_vmsa::arch::features::SecurityStates::REALM","assoc_const","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","366","aarch64_vmsa::arch::features::SecurityStates::ROOT","assoc_const","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","364","aarch64_vmsa::arch::features::SecurityStates::SECURE","assoc_const","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","369","aarch64_vmsa::arch::features::SecurityStates::bits","function","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","368","aarch64_vmsa::arch::features::SecurityStates::contains","function","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","367","aarch64_vmsa::arch::features::SecurityStates::union","function","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","451","aarch64_vmsa::arch::features::VmsaFeatures","struct","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","452","aarch64_vmsa::arch::features::VmsaFeatures::NONE","assoc_const","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","455","aarch64_vmsa::arch::features::VmsaFeatures::current","function","direct-fvp-execution","features.live-snapshot-agreement in every FVP profile","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","453","aarch64_vmsa::arch::features::VmsaFeatures::verify","function","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","446","aarch64_vmsa::arch::features::d128","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","489","aarch64_vmsa::arch::features::d128","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","447","aarch64_vmsa::arch::features::d128_stage2","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","490","aarch64_vmsa::arch::features::d128_stage2","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","536","aarch64_vmsa::arch::features::decode_features","function","direct-fvp-execution","features.live-snapshot-agreement in every FVP profile","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","438","aarch64_vmsa::arch::features::el2","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","481","aarch64_vmsa::arch::features::el2","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","440","aarch64_vmsa::arch::features::el2_and0","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","483","aarch64_vmsa::arch::features::el2_and0","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","439","aarch64_vmsa::arch::features::el3","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","482","aarch64_vmsa::arch::features::el3","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","448","aarch64_vmsa::arch::features::extended_input_address","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","491","aarch64_vmsa::arch::features::extended_input_address","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","449","aarch64_vmsa::arch::features::extended_output_address","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","492","aarch64_vmsa::arch::features::extended_output_address","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","405","aarch64_vmsa::arch::features::id_aa64mmfr0_el1","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","406","aarch64_vmsa::arch::features::id_aa64mmfr1_el1","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","407","aarch64_vmsa::arch::features::id_aa64mmfr2_el1","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","408","aarch64_vmsa::arch::features::id_aa64mmfr3_el1","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","404","aarch64_vmsa::arch::features::id_aa64pfr0_el1","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","445","aarch64_vmsa::arch::features::lpa2","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","488","aarch64_vmsa::arch::features::lpa2","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","442","aarch64_vmsa::arch::features::rme","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","485","aarch64_vmsa::arch::features::rme","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","450","aarch64_vmsa::arch::features::security_states","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","493","aarch64_vmsa::arch::features::security_states","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","441","aarch64_vmsa::arch::features::sel2","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","484","aarch64_vmsa::arch::features::sel2","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","443","aarch64_vmsa::arch::features::stage2","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","486","aarch64_vmsa::arch::features::stage2","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","444","aarch64_vmsa::arch::features::xnx","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","487","aarch64_vmsa::arch::features::xnx","struct_field","type-only","typed feature input and adapter capability validation","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","897","aarch64_vmsa::attrs","module","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","3499","aarch64_vmsa::attrs","use","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","3500","aarch64_vmsa::attrs","use","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","3501","aarch64_vmsa::attrs","use","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","3502","aarch64_vmsa::attrs","use","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","3503","aarch64_vmsa::attrs","use","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","3504","aarch64_vmsa::attrs","use","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","3505","aarch64_vmsa::attrs","use","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","3506","aarch64_vmsa::attrs","use","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","3507","aarch64_vmsa::attrs","use","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","3508","aarch64_vmsa::attrs","use","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","3509","aarch64_vmsa::attrs","use","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","3510","aarch64_vmsa::attrs","use","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","3511","aarch64_vmsa::attrs","use","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","3512","aarch64_vmsa::attrs","use","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","3561","aarch64_vmsa::attrs","use","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","3562","aarch64_vmsa::attrs","use","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","3563","aarch64_vmsa::attrs","use","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","1373","aarch64_vmsa::attrs::AttrError","enum","direct-fvp-execution","closed AttributeError normalization preserves every AttrError variant at offline/live semantic map and inspection boundaries; attributes.semantic-live exactly matches MemoryAttributeNotConfigured before positive encode/install/decode/restore and 22 following cases in output/runs/ns-el2-00001784003647093939-9952","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","544","aarch64_vmsa::attrs::pas::FixedNonSecurePas","struct","type-only","zero-sized regime PAS marker; its associated leaf/table attributes are unit and emit no architecturally observable selectable PAS field","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","550","aarch64_vmsa::attrs::pas::FixedRealmIpaPas","struct","type-only","zero-sized regime PAS marker with unit leaf/table attributes; Realm ownership is fixed by the selected regime","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","559","aarch64_vmsa::attrs::pas::NonSecureIpaContext","struct","type-only","zero-sized stage-2 regime context whose output-address-space attribute is unit","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","541","aarch64_vmsa::attrs::pas::PasModel","trait","type-only","typed catalog bounds and compile-time regime/format selection","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","568","aarch64_vmsa::attrs::pas::RealmIpaContext","struct","type-only","zero-sized stage-2 context marker; its observable RealmOrNonSecurePa values are covered separately","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","583","aarch64_vmsa::attrs::pas::RealmOrNonSecurePa","enum","typed-inspection","stable semantic mapper encodes and decodes both Realm and NonSecure stage-2 leaves in pas.semantic-access; output/runs/realm-el2-00001784004093615280-29816","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","553","aarch64_vmsa::attrs::pas::RealmOrNonSecurePaPas","struct","type-only","zero-sized stage-1 PAS model marker; observable associated enum encodings are covered separately","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","587","aarch64_vmsa::attrs::pas::RootExtendedPa","enum","typed-inspection","stable D128 semantic mapper encodes and decodes Secure, NonSecure, Root, and Realm leaves in permissions.d128-indirection; output/runs/root-el3-00001784004138388782-18912","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","556","aarch64_vmsa::attrs::pas::RootExtendedPas","struct","type-only","zero-sized Root regime PAS model marker; observable associated enum encodings are covered separately","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","562","aarch64_vmsa::attrs::pas::SecureIpaContext","struct","type-only","zero-sized stage-2 context marker; its observable SecureSelectablePa encoding is covered separately","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","565","aarch64_vmsa::attrs::pas::SecureNonSecureIpaContext","struct","type-only","zero-sized stage-2 context marker; its observable SecureSelectablePa encoding is covered separately","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","576","aarch64_vmsa::attrs::pas::SecureSelectablePa","enum","typed-inspection","stable semantic mapper encodes and decodes Secure and NonSecure stage-1 leaves plus Secure-IPA and NonSecure-IPA stage-2 contexts in pas.semantic-access; output/runs/secure-el2-00001784003956904508-28240","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","547","aarch64_vmsa::attrs::pas::SecureSelectablePas","struct","type-only","zero-sized Secure stage-1 PAS model marker; observable associated enum encodings are covered separately","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","571","aarch64_vmsa::attrs::pas::Stage1PasModel","trait","type-only","typed catalog bounds and compile-time regime/format selection","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","791","aarch64_vmsa::attrs::pas::Stage2PasContext","trait","type-only","typed catalog bounds and compile-time regime/format selection","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","901","aarch64_vmsa::attrs::permissions::DataAccess","enum","typed-inspection","None, ReadOnly, and ReadWrite are constructed and decoded across direct/XNX/D128 semantic mappings in permissions.stage1-semantic-mapper, permissions.stage2-direct-semantic-mapper, permissions.d128-stage1-effective-semantic-mapper, permissions.d128-stage2-semantic-mapper; output/runs/ns-el2-00001784004484438604-14648","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","1084","aarch64_vmsa::attrs::permissions::El1And0Permissions","struct","type-only","zero-sized privilege-model selector; its associated two-privilege leaf/table values are exercised separately","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","1098","aarch64_vmsa::attrs::permissions::El2And0Permissions","struct","type-only","zero-sized privilege-model selector; associated two-privilege behavior is exercised through typed EL2&0 and semantic mappings","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","1091","aarch64_vmsa::attrs::permissions::El2Permissions","struct","type-only","zero-sized privilege-model selector; associated single-privilege values are exercised separately","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","1105","aarch64_vmsa::attrs::permissions::El3Permissions","struct","type-only","zero-sized privilege-model selector; associated Root single-privilege/D128 behavior is exercised separately","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","1296","aarch64_vmsa::attrs::permissions::MostlyReadOnly","enum","typed-inspection","all four qualifiers are configured, encoded, and decoded through D128 semantic stage 2 in permissions.stage1-semantic-mapper, permissions.stage2-direct-semantic-mapper, permissions.d128-stage1-effective-semantic-mapper, permissions.d128-stage2-semantic-mapper; output/runs/ns-el2-00001784004484438604-14648","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","1077","aarch64_vmsa::attrs::permissions::PrivilegeModel","trait","type-only","typed catalog bounds and compile-time regime/format selection","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","934","aarch64_vmsa::attrs::permissions::SinglePrivilegeLeafPermissions","struct","typed-inspection","stable semantic mapping and decoding in attributes.semantic-live and pas.semantic-access; exact permission failures normalize through AttributeError","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","961","aarch64_vmsa::attrs::permissions::SinglePrivilegeTablePermissionLimits","struct","typed-inspection","stable semantic table construction accompanies offline/live EL2 and Secure mappings and exact decode inspection; catalog: permissions.stage1-single-matrix; permissions.stage1-two-privilege-matrix; permissions.stage2-direct-xnx-matrix; permissions.d128-stage1-indirection-matrix; permissions.d128-stage2-overlay-matrix","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","1267","aarch64_vmsa::attrs::permissions::Stage1EffectivePermissions","struct","typed-inspection","D128 semantic mapping covers direct data/execute values plus independently configured privileged-GCS and unprivileged-GCS effective permissions in permissions.stage1-semantic-mapper, permissions.stage2-direct-semantic-mapper, permissions.d128-stage1-effective-semantic-mapper, permissions.d128-stage2-semantic-mapper; output/runs/ns-el2-00001784004838046293-9296","evidence-complete"
